Accession	GenbankAcc	Length	Taxid	ProjectID	TaxName	Replicon	Create Date	Update Date
NC_000907.1	L42023.1	1830138	71421	57771	Haemophilus influenzae Rd KW20	chromosome 	Oct 19 2001	Sep 11 2013  4:30:20:076PM
NC_000908.2	L43967.2	580076	243273	57707	Mycoplasma genitalium G37	chromosome 	Jan 8 2001	Jun 10 2013  5:23:14:903PM
NC_000964.3	AL009126.3	4215606	224308	57675	Bacillus subtilis subsp. subtilis str. 168	chromosome 	Nov 20 1997	Aug 26 2013 11:43:52:993PM
NC_000909.1	L77117.1	1664970	243232	57713	Methanocaldococcus jannaschii DSM 2661	chromosome 	Sep 10 2001	Jun 10 2013  3:11:21:146PM
NC_000911.1	BA000022.2	3573470	1148	57659	Synechocystis sp. PCC 6803	chromosome 	Oct 23 2001	Jun 27 2013  8:50:44:023PM
NC_000912.1	U00089.2	816394	272634	57709	Mycoplasma pneumoniae M129	chromosome 	Apr 2 2001	Sep  5 2013 11:31:26:946AM
NC_000913.2		4639675	511145	57779	Escherichia coli str. K-12 substr. MG1655	chromosome 	Oct 15 2001	Jul 22 2013  7:01:57:416PM
NC_000914.2	U00090.2	536165	394	59081	Sinorhizobium fredii NGR234	plasmid pNGR234a	Nov 22 1996	Jun 27 2013  8:46:00:113PM
NC_000915.1	AE000511.1	1667867	85962	57787	Helicobacter pylori 26695	chromosome 	Sep 7 2001	Aug 26 2013 10:35:39:066PM
NC_000916.1	AE000666.1	1751377	187420	57877	Methanothermobacter thermautotrophicus str. Delta H	chromosome 	Sep 19 2001	Jun 10 2013  3:11:52:376PM
NC_000917.1	AE000782.1	2178400	224325	57717	Archaeoglobus fulgidus DSM 4304	chromosome 	Dec 17 1997	Jun 10 2013  3:08:42:850PM
NC_001318.1	AE000783.1	910724	224326	57581	Borrelia burgdorferi B31	chromosome 	Sep 7 2001	Jul 22 2013  5:50:01:366PM
NC_000918.1	AE000657.1	1551335	224324	57765	Aquifex aeolicus VF5	chromosome 	Aug 23 2001	Jul 22 2013  6:04:39:533PM
NC_000961.1	BA000001.2	1738505	70601	57753	Pyrococcus horikoshii OT3	chromosome 	Jul 3 2001	Jun 10 2013  3:09:32:283PM
NC_000962.2	AL123456.2	4411532	83332	57777	Mycobacterium tuberculosis H37Rv	chromosome 	Sep 7 2001	Jul 22 2013  6:04:59:656PM
NC_000919.1	AE000520.1	1138011	243276	57585	Treponema pallidum subsp. pallidum str. Nichols	chromosome 	Sep 7 2001	Jun 27 2013  8:51:26:946PM
NC_000117.1	AE001273.1	1042519	272561	57637	Chlamydia trachomatis D/UW-3/CX	chromosome 	Sep 10 2001	Aug 22 2013  6:27:38:886PM
NC_000963.1	AJ235269.1	1111523	272947	61565	Rickettsia prowazekii str. Madrid E	chromosome 	Sep 10 2001	Sep 16 2013  3:38:32:930PM
NC_000921.1	AE001439.1	1643831	85963	57789	Helicobacter pylori J99	chromosome 	Sep 10 2001	Jun 10 2013  3:10:21:616PM
NC_000922.1	AE001363.1	1230230	115713	57811	Chlamydophila pneumoniae CWL029	chromosome 	Sep 10 2001	Aug 22 2013  6:28:21:993PM
NC_000853.1	AE000512.1	1860725	243274	57723	Thermotoga maritima MSB8	chromosome 	Sep 10 2001	Jul 22 2013  6:03:32:303PM
NC_000854.2	BA000002.3	1669696	272557	57757	Aeropyrum pernix K1	chromosome 	Jul 5 2001	Jun 10 2013  5:50:01:146PM
NC_000868.1	AL096836.1	1765118	272844	62903	Pyrococcus abyssi GE5	chromosome 	Jun 21 2001	Aug 27 2013  2:39:22:650AM
NC_001263.1	AE000513.1	2648638	243230	57665	Deinococcus radiodurans R1	chromosome 1	Sep 28 2001	Jul 22 2013  6:00:19:320PM
NC_001264.1	AE001825.1	412348	243230	57665	Deinococcus radiodurans R1	chromosome 2	Sep 28 2001	Jul 22 2013  7:00:09:936PM
NC_002162.1	AF222894.1	751719	273119	57711	Ureaplasma parvum serovar 3 str. ATCC 700970	chromosome 	Jan 10 2000	Jun 27 2013  8:51:34:736PM
NC_002163.1	AL111168.1	1641481	192222	57587	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	chromosome 	Sep 27 2001	Sep  4 2013 10:34:01:716AM
NC_002620.2	AE002160.2	1072950	243161	57785	Chlamydia muridarum Nigg	chromosome 	Oct 2 2001	Aug 21 2013 11:40:18:973PM
NC_002179.2	AE002161.1	1229853	115711	57809	Chlamydophila pneumoniae AR39	chromosome 	Nov 6 2001	Jun 10 2013  4:14:11:230PM
NC_003112.2	AE002098.2	2272360	122586	57817	Neisseria meningitidis MC58	chromosome 	Sep 19 2001	Jul 22 2013  6:08:54:266PM
NC_003116.1	AL157959.1	2184406	122587	57819	Neisseria meningitidis Z2491	chromosome 	Sep 27 2001	Jun 10 2013  3:12:20:840PM
NC_002488.3	AE003849.1	2679306	160492	57849	Xylella fastidiosa 9a5c	chromosome 	Oct 2 2001	Jun 27 2013  8:52:46:290PM
NC_002491.1	BA000008.3	1226565	138677	57829	Chlamydophila pneumoniae J138	chromosome 	Oct 2 2001	Jun 10 2013  3:22:30:506PM
NC_002505.1	AE003852.1	2961149	243277	57623	Vibrio cholerae O1 biovar El Tor str. N16961	chromosome I	Sep 10 2001	Aug 26 2013  6:48:19:813PM
NC_002506.1	AE003853.1	1072315	243277	57623	Vibrio cholerae O1 biovar El Tor str. N16961	chromosome II	Sep 10 2001	Aug 26 2013  6:49:24:760PM
NC_002516.2	AE004091.2	6264404	208964	57945	Pseudomonas aeruginosa PAO1	chromosome 	Sep 10 2001	Aug 26 2013 10:32:44:573PM
NC_002528.1	BA000003.2	640681	107806	57805	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	chromosome 	Sep 10 2001	Sep  3 2013  1:33:14:223PM
NC_002607.1	AE004437.1	2014239	64091	57769	Halobacterium sp. NRC-1	chromosome 	Sep 27 2001	Jun 27 2013  8:32:44:140PM
NC_002608.1	AE004438.1	365425	64091	57769	Halobacterium sp. NRC-1	plasmid pNRC200	Jul 14 2000	Jun 27 2013  8:32:51:050PM
NC_002570.2	BA000004.3	4202352	272558	57791	Bacillus halodurans C-125	chromosome 	Sep 10 2001	Aug 27 2013  9:16:29:393AM
NC_002578.1	AL139299.1	1564906	273075	61573	Thermoplasma acidophilum DSM 1728	chromosome 	Oct 12 2001	May 23 2013  1:52:39:476AM
NC_002655.2	AE005174.2	5528445	155864	57831	Escherichia coli O157:H7 str. EDL933	chromosome 	Sep 27 2001	Aug 26 2013 10:37:12:050PM
NC_002663.1	AE004439.1	2257487	272843	57627	Pasteurella multocida subsp. multocida str. Pm70	chromosome 	Sep 10 2001	Jun 27 2013  8:38:09:860PM
NC_002662.1	AE005176.1	2365589	272623	57671	Lactococcus lactis subsp. lactis Il1403	chromosome 	Sep 19 2001	Jul 22 2013  6:00:57:066PM
NC_002677.1	AL450380.1	3268203	272631	57697	Mycobacterium leprae TN	chromosome 	Oct 2 2001	Jul 22 2013  6:02:36:626PM
NC_002678.2	BA000012.4	7036071	266835	57601	Mesorhizobium loti MAFF303099	chromosome 	Feb 3 2001	Jun 10 2013  4:11:36:256PM
NC_002679.1	BA000013.4	351911	266835	57601	Mesorhizobium loti MAFF303099	plasmid pMLa	Feb 3 2001	Jun 10 2013  3:09:06:103PM
NC_002689.2	BA000011.4	1584804	273116	57751	Thermoplasma volcanium GSS1	chromosome 	Mar 22 2001	Jun 10 2013  3:09:15:216PM
NC_002695.1	BA000007.2	5498450	386585	57781	Escherichia coli O157:H7 str. Sakai	chromosome 	Oct 2 2001	Aug 27 2013  9:04:59:490AM
NC_002696.2		4016947	190650	57891	Caulobacter crescentus CB15	chromosome 	Mar 21 2001	Jul 22 2013  6:10:58:120PM
NC_002737.1	AE004092.1	1852441	160490	57845	Streptococcus pyogenes M1 GAS	chromosome 	Sep 19 2001	Jun 27 2013  8:49:37:686PM
NC_002745.2	BA000018.3	2814816	158879	57837	Staphylococcus aureus subsp. aureus N315	chromosome 	Apr 21 2001	Aug 26 2013 10:39:51:976PM
NC_002754.1	AE006641.1	2992245	273057	57721	Sulfolobus solfataricus P2	chromosome 	Oct 3 2001	Jun 27 2013  8:50:21:296PM
NC_002755.2	AE000516.2	4403837	83331	57775	Mycobacterium tuberculosis CDC1551	chromosome 	Oct 2 2001	Jun 10 2013  4:00:55:036PM
NC_002758.2	BA000017.4	2878529	158878	57835	Staphylococcus aureus subsp. aureus Mu50	chromosome 	Oct 4 2001	Aug 26 2013 10:45:00:326PM
NC_002771.1	AL445566.1	963879	272635	61569	Mycoplasma pulmonis UAB CTIP	chromosome 	Oct 2 2001	May 23 2013  1:40:28:333AM
NC_003028.3	AE005672.3	2160842	170187	57857	Streptococcus pneumoniae TIGR4	chromosome 	Oct 3 2001	Jun 27 2013  8:49:30:180PM
NC_003030.1	AE001437.1	3940880	272562	57677	Clostridium acetobutylicum ATCC 824	chromosome 	Oct 3 2001	Jul 22 2013  6:01:08:923PM
NC_003037.1	AE006469.1	1354226	266834	57603	Sinorhizobium meliloti 1021	plasmid pSymA	Mar 29 2001	Jun 27 2013  8:46:49:780PM
NC_003078.1	AL591985.1	1683333	266834	57603	Sinorhizobium meliloti 1021	plasmid pSymB	Aug 16 2001	Jun 27 2013  8:46:32:066PM
NC_003047.1	AL591688.1	3654135	266834	57603	Sinorhizobium meliloti 1021	chromosome 	Oct 5 2001	Jun 27 2013  8:46:40:493PM
NC_003062.2	AE007869.2	2841580	176299	57865	Agrobacterium fabrum str. C58	chromosome circular	Oct 3 2001	Jul 22 2013  6:09:20:893PM
NC_003063.2	AE007870.2	2075577	176299	57865	Agrobacterium fabrum str. C58	chromosome linear	Oct 3 2001	Jul 22 2013  6:09:35:173PM
NC_003064.2	AE007872.2	542868	176299	57865	Agrobacterium fabrum str. C58	plasmid At	Aug 14 2001	Jul 22 2013  6:09:42:103PM
NC_003065.3	AE007871.2	214233	176299	57865	Agrobacterium fabrum str. C58	plasmid Ti	Aug 14 2001	Jul 22 2013  6:09:45:386PM
NC_003098.1	AE007317.1	2038615	171101	57859	Streptococcus pneumoniae R6	chromosome 	Oct 3 2001	Aug 26 2013 10:35:55:190PM
NC_003103.1	AE006914.1	1268755	272944	57633	Rickettsia conorii str. Malish 7	chromosome 	Oct 3 2001	Jun 10 2013  3:22:37:750PM
NC_003106.2	BA000023.2	2694756	273063	57807	Sulfolobus tokodaii str. 7	chromosome 	Oct 4 2001	Jun 10 2013  3:34:58:520PM
NC_003143.1	AL590842.1	4653728	214092	57621	Yersinia pestis CO92	chromosome 	Oct 15 2001	Aug 30 2013  3:46:16:620PM
NC_003197.1	AE006468.1	4857432	99287	57799	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	chromosome 	Nov 7 2001	Sep 11 2013  3:45:15:096PM
NC_003198.1	AL513382.1	4809037	220341	57793	Salmonella enterica subsp. enterica serovar Typhi str. CT18	chromosome 	Nov 7 2001	Sep 18 2013  2:23:34:043PM
NC_003210.1	AL591824.1	2944528	169963	61583	Listeria monocytogenes EGD-e	chromosome 	Nov 8 2001	Aug 27 2013  3:39:55:473PM
NC_003212.1	AL592022.1	3011208	272626	61567	Listeria innocua Clip11262	chromosome 	Nov 8 2001	Jun 27 2013  8:35:19:943PM
NC_003272.1	BA000019.2	6413771	103690	57803	Nostoc sp. PCC 7120	chromosome 	Nov 28 2001	Jun 10 2013  3:27:50:596PM
NC_003295.1	AL646052.1	3716413	267608	57593	Ralstonia solanacearum GMI1000	chromosome 	Dec 7 2001	Aug 27 2013  9:22:14:253AM
NC_003296.1	AL646053.1	2094509	267608	57593	Ralstonia solanacearum GMI1000	plasmid pGMI1000MP	Dec 7 2001	Aug 27 2013  9:11:22:090AM
NC_003317.1	AE008917.1	2117144	224914	57735	Brucella melitensis bv. 1 str. 16M	chromosome I	Nov 13 2001	Jun 27 2013  8:19:43:983PM
NC_003318.1	AE008918.1	1177787	224914	57735	Brucella melitensis bv. 1 str. 16M	chromosome II	Nov 13 2001	Jun 27 2013  8:19:50:206PM
NC_003366.1	BA000016.3	3031430	195102	57681	Clostridium perfringens str. 13	chromosome 	Dec 27 2001	Jun 27 2013  8:23:40:310PM
NC_003364.1	AE009441.1	2222430	178306	57727	Pyrobaculum aerophilum str. IM2	chromosome 	Dec 12 2001	Aug 26 2013 10:38:06:556PM
NC_003413.1	AE009950.1	1908256	186497	57873	Pyrococcus furiosus DSM 3638	chromosome 	Feb 12 2002	Jun 27 2013  8:40:34:436PM
NC_003450.3	BA000036.3	3309401	196627	57905	Corynebacterium glutamicum ATCC 13032	chromosome 	Mar 12 2001	Jul 22 2013  6:11:18:513PM
NC_003454.1	AE009951.2	2174500	190304	57885	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	chromosome 	Feb 13 2002	Sep 25 2013  6:40:01:300PM
NC_003485.1	AE009949.1	1895017	186103	57871	Streptococcus pyogenes MGAS8232	chromosome 	Jan 31 2002	Jun 10 2013  3:30:28:333PM
NC_003551.1	AE009439.1	1694969	190192	57883	Methanopyrus kandleri AV19	chromosome 	Feb 4 2002	Jun 10 2013  3:31:20:753PM
NC_003552.1	AE010299.1	5751492	188937	57879	Methanosarcina acetivorans C2A	chromosome 	Mar 20 2002	Jun 10 2013  3:30:53:753PM
NC_003869.1	AE008691.1	2689445	273068	57813	Thermoanaerobacter tengcongensis MB4	chromosome 	Oct 7 2001	Jun 10 2013  3:31:32:646PM
NC_003888.3	AL645882.2	8667507	100226	57801	Streptomyces coelicolor A3(2)	chromosome 	May 28 2002	Aug 26 2013 10:41:21:830PM
NC_003901.1	AE008384.1	4096345	192952	57893	Methanosarcina mazei Go1	chromosome 	Aug 23 2001	Jun 10 2013  3:31:46:633PM
NC_003902.1	AE008922.1	5076188	190485	57887	Xanthomonas campestris pv. campestris str. ATCC 33913	chromosome 	Nov 28 2001	Jul 22 2013  6:10:38:783PM
NC_003903.1	AL589148.1	356023	100226	57801	Streptomyces coelicolor A3(2)	plasmid SCP1	May 28 2002	Jul 22 2013  6:07:40:700PM
NC_003919.1	AE008923.1	5175554	190486	57889	Xanthomonas axonopodis pv. citri str. 306	chromosome 	Nov 28 2001	Jun 10 2013  3:32:35:686PM
NC_003923.1	BA000033.2	2820462	196620	57903	Staphylococcus aureus subsp. aureus MW2	chromosome 	May 31 2002	Aug 26 2013  8:26:35:966PM
NC_002932.3	AE006470.1	2154946	194439	57897	Chlorobium tepidum TLS	chromosome 	Apr 30 2002	Jul 22 2013  7:03:30:153PM
NC_004061.1	AE013218.1	641454	198804	57913	Buchnera aphidicola str. Sg (Schizaphis graminum)	chromosome 	Jun 10 2002	Jun 10 2013  3:33:14:113PM
NC_004070.1	AE014074.1	1900521	198466	57911	Streptococcus pyogenes MGAS315	chromosome 	Jul 18 2002	Jun 10 2013  3:33:32:263PM
NC_004088.1	AE009952.1	4600755	187410	57875	Yersinia pestis KIM10+	chromosome 	Jul 29 2002	Aug 26 2013 10:38:40:576PM
NC_004113.1	BA000039.2	2593857	197221	57907	Thermosynechococcus elongatus BP-1	chromosome 	Aug 19 2002	Sep  5 2013  1:35:54:560PM
NC_004116.1	AE009948.1	2160267	208435	57943	Streptococcus agalactiae 2603V/R	chromosome 	Aug 28 2002	Sep 26 2013 10:52:01:173AM
NC_004193.1	BA000028.3	3630528	221109	57867	Oceanobacillus iheyensis HTE831	chromosome 	Sep 18 2002	Jun 10 2013  3:34:33:346PM
NC_004307.2	AE014295.3	2256640	206672	57939	Bifidobacterium longum NCC2705	chromosome 	Sep 27 2002	Aug 26 2013  9:26:22:776PM
NC_004310.3	AE014291.4	2107794	204722	57927	Brucella suis 1330	chromosome I	Sep 30 2002	Jun 27 2013  8:20:04:246PM
NC_004311.2	AE014292.2	1207381	204722	57927	Brucella suis 1330	chromosome II	Oct 2 2002	Jun 27 2013  8:20:13:403PM
NC_004337.2	AE005674.2	4607202	198214	62907	Shigella flexneri 2a str. 301	chromosome 	Oct 16 2002	Aug 21 2013  3:49:31:730PM
NC_004342.2		4338762	189518	57881	Leptospira interrogans serovar Lai str. 56601	chromosome I	Oct 21 2002	Jul 22 2013  6:09:58:220PM
NC_004343.2	AE010301.2	359372	189518	57881	Leptospira interrogans serovar Lai str. 56601	chromosome II	Oct 21 2002	Jul 22 2013  6:09:47:700PM
NC_004344.2	BA000021.3	697724	36870	57853	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	chromosome 	Oct 24 2002	Jun 10 2013  3:47:37:423PM
NC_004347.1	AE014299.1	4969803	211586	57949	Shewanella oneidensis MR-1	chromosome 	Sep 12 2002	Aug 26 2013 10:42:35:673PM
